DisplayMFL,DisplayFacilityName,DisplaySubcounty,DisplayCounty,DisplayMechanism,DisplayAgency,UploadStatus,UploadDate,Upload_monthYear,SiteCode,MPI_SiteCode,UploadDate_MPI,Upload_monthYear_MPI
11243,Baobab Clinic - Bamburi Cement,Nyali,MOMBASA,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
24618,DICE ICL  BOMET,Bomet Central,BOMET,HJF-SOUTH RIFT VALLEY,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
15891,GK Prisons Dispensary (Busia),Matayos,BUSIA,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
12046,GK Prison Dispensary (Isiolo),Isiolo,ISIOLO,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14090,Simbiri Nanbell Health Centre,Rachuonyo South,HOMA BAY,EGPAF TIMIZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11669,Mtongwe (MCM) Dispensary,Likoni,MOMBASA,HJF-NAIROBI,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14768,Kapsowar Dispensary,Marakwet West,ELGEYO MARAKWET,AMPATH PLUS,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11615,Mikindani Medical Clinic,Jomvu,MOMBASA,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
12319,Kina Dispensary,Igembe Central,MERU,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11830,Star of Good Hope Medical Clinic,Matuga,KWALE,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
16880,Nyabiosi Health Centre,South Mugirango,KISII,UMB TIMIZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
12952,Getrude Donholm Clinic,Embakasi East,NAIROBI,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14181,3KR Health Centre,Nakuru East,NAKURU,HJF-NAIROBI,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13116,Nairobi West Men's Prison Dispensary,Langata,NAIROBI,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14519,GK Prisons Dispensary (Eldoret East),Moiben,UASIN GISHU,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14076,Sengera Health Centre (Gucha),Bomachoge Chache,KISII,UMB TIMIZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11840,Taveta District Hospital,Taveta,TAITA TAVETA,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13070,Marura Nursing Home,Ruaraka,NAIROBI,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
17757,Baraka Hospital,Narok West,NAROK,HJF-SOUTH RIFT VALLEY,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
